Identifier,Title,Author,Description,collection
ijir-volume-13-issue-1-pages-1-14,Predicting people's health insurance costs using machine learning and ensemble learning methods,M,"<strong>BACKGROUND AND OBJECTIVES:</strong> The healthcare insurance 
industry faces a significant challenge predicting individuals' insurance
 costs, which are based on complex parameters such as age and physical 
characteristics. Insurance companies categorize policyholders into 
high-risk and low-risk groups to manage risks and avoid potential 
losses. However, the accurate estimation of costs for each individual 
can be a daunting task. By leveraging data science and machine learning 
techniques, insurance companies can improve their cost estimation 
accuracy and better manage risks. This approach can help insurance 
companies to provide more accurate insurance coverage and pricing for 
individuals leading to higher customer satisfaction and lower financial 
losses.<br /><strong>METHODS: </strong>To address this challenge, a data 
science and machine learning-based approach that uses ensemble learning 
to predict high-risk and low-risk individuals is used. The method 
involves several steps including data preprocessing, feature 
engineering, and cross-validation to evaluate the model's performance. 
The first step involves preprocessing the data by cleaning it, handling 
missing values, and encoding categorical variables. The second step 
generates new features using feature engineering techniques such as 
scaling, normalization, and dimensionality reduction. Next, ensemble 
learning is used to combine multiple regression methods such as logistic
 regression, neural networks, support vector machines, random forests, 
LightGBM, and XGBoost. By combining these methods, the aim is to 
leverage their strengths and minimize their weaknesses to achieve better
 prediction accuracy. Finally, the model's performance is evaluated 
using cross-validation techniques such as k-fold cross-validation. These
 techniques help to validate the model's accuracy and prevent 
overfitting.<br /><strong>FINDINGS:</strong> The proposed approach achieves an AUC of 0.73 demonstrating its effectiveness in predicting high-risk and low-risk individuals.<br /><strong>CONCLUSION:</strong>
 In conclusion, the healthcare insurance industry can benefit greatly 
from data science and machine learning-based approaches. By accurately 
predicting high-risk and low-risk individuals, insurance companies can 
better manage risks and provide more accurate coverage and pricing for 
their customers. This can lead to the improvement of  customer 
satisfaction and the reduction of financial losses for insurance 
companies.","['journals_contributions', 'journals']"
ijir-volume-13-issue-1-pages-43-60,Estimation of the parameters of Weibull distribution and net premium against outliers,E,"<strong>BACKGROUND AND OBJECTIVES:</strong> Weibull distribution, 
introduced by a Swedish physicist named Weibull, is the most common 
model used in studies of reliability, longevity, quality control. It is 
widely used in various fields of science including insurance, medicine, 
and engineering . This distribution is flexible enough to model 
different data. The main goal of this research is to calculate insurance
 premiums and estimate Weibull distribution parameters using various 
estimation methods.<br /><strong>METHODS: </strong>In this article, the 
parameters of Weibull distribution and net premium have been estimated 
using moment estimation, maximum likelihood, least squares of error, 
weighted least squares, percentage, Cramer-Von- Mises, mixture of moment
 and maximum-likelihood against outliers. R software was used for 
simulation and numerical calculations purposes and also Easyfit software
 was used to fit Weibull distribution to the real example data. In the 
end, two real data examples for obtaining various estimators of the 
premium in case of unknown parameters β and θ and known α are presented.<br /><strong>FINDINGS:</strong>
 In this research bias, the mean square error of net premium and unknown
 parameters β and θ were obtained using different estimators for Weibull
 distribution data as well as the generalized variance of unknown 
parameters β and θ.<br /><strong>CONCLUSION:</strong> In this part, the 
evaluation and comparison of the estimators using real and simulated 
data was done, which was obtained by different for real data. For 
example, in the moment method, was equal to 5, based on which the net 
premium is 3.37657. In the simulated data, according to k (number of 
outliers), n (sample size) and β and θ values, bias values, mean squared
 error and generalized variance of premium and different estimators were
 obtained. As an example, for n=10, k=1, β=1.5, θ=3 and α=70, by 
comparing the bias and generalized variance of the estimators, we come 
to the conclusion that based on the bias, the percentile estimator has a
 better performance than the other estimators. Simply put, it has less 
bias and according to the generalized variance, the maximum likelihood 
estimator has a better performance than other estimators and the 
estimators are consistent (the generalized variance decreases with the 
increase of the sample size). Based on the mean square error, the moment
 estimation has a better performance than other estimators.","['journals_contributions', 'journals']"
ijir-volume-13-issue-1-pages-71-86,A comprehensive analysis of keywords co-occurrence network and the most cited journals on data mining techniques in insurance industry using scientometrics approach,H,"<strong>BACKGROUND AND OBJECTIVES:</strong> Data mining is known as a 
process of discovering patterns in large datasets through a combination 
of statistical tools and techniques. In recent years, data mining and 
its applications in different businesses have increasingly grown. 
Insurance industry is one of the data-driven businesses whose survival 
is so dependent on satisfying customers besides achieving the highest 
benefit. Information or data is a vital asset of the insurance industry 
;accordingly, using data mining techniques to discover patterns behind 
large datasets is a need. Having seen the increasingly high rate of 
information technology and recorded data in data-driven businesses, lots
 of industries like the insurance industry have been urged to use 
state-of-the-art data mining techniques to turn raw data into useful 
information using Big Data Analytics.<br /><strong>METHODS: </strong>Looking
 at the current research on data mining applications in the insurance 
industry proves the fact that we should recognize the state-of-the art 
techniques in data mining and set new strategies to focus on Big Data 
Analytics more. Big Data Analytics consists of the algorithms which are 
more efficient and less time-consuming so it can help to identify 
patterns and rules in complex datasets. For this purpose, this paper 
presents a comprehensive literature review regarding the usage of data 
mining techniques in the insurance industry by the scientometrics 
approach. For this purpose, first we searched and gathered bibliometrics
 files of recent researches from Web of Science and Scopus into four 
different scenarios. In each scenario, we looked up for different 
keywords regarding “Data Mining”, “Insurance Industry”, and “Risk 
Management” to make sure that all the results would be specifically 
focused on the research topic. Then, we used R programming software to 
analyze the results of each scenario based on keywords co-occurrence in 
the given research.<br /><strong>FINDINGS: </strong>The results of 
keywords co-occurrence and a word cloud of recent research confirm that 
insurance companies should focus on Big Data Analytics instead of 
traditional data processing to get information systematically from too 
large or complex datasets. Big Data Analytics has been used for several 
years, but in recent years many data-driven businesses, like the 
insurance industry, have used its techniques associated with risk and 
risk factor identification. Risk management in the insurance industry 
has been widely considered in recent researches. Therefore, in this 
paper, some high-ranked journals and the most significant researches 
have been identified and recommended in order to pave the way for future
 researches in this field.<br /><strong>CONCLUSION: </strong>We hope that 
the comprehensive literature review provided in this paper can help the 
researchers to focus on the relative journals and researches published 
then get into more details. For this purpose, the lists of all journals 
and conferences besides the most cited researches are provided in the 
experimental section of this paper. Also, the ranking list of different 
countries from all around the world related to data mining and Big Data 
Analytics in the insurance industry is presented. The results show that 
Iran is the 15<sup>th</sup>  country that uses data mining techniques and it is the 17<sup>th</sup>  country in the world focusing on risk management in the insurance industry.","['journals_contributions', 'journals']"
jcesc-volume-22-issue-1-pages-15-30,Correlation Coefficients and Factor Analysis for Morpho-physiological and Biochemical Attributes Affecting the Yield and Yield Components of Desi-type Chickpea (Cicer arietinum L.) Genotypes,Unknown Author,"<strong>Introduction</strong><br />Chickpea (<em>Cicer arietinum</em> L.) 
is one of the most important crops in the human food basket worldwide. 
It is a highly nutritious pulse crop with low digestible carbohydrates, 
protein, essential fats, fiber, and a range of minerals and vitamins. As
 the human population grows, the demand for this protein source 
increases and various approaches to its sustainable products are being 
developed. Autumn cultivation of chickpea in cold regions requires the 
introduction of cultivars tolerant to freezing stress. The ability of 
plants to overwinter depends on the biochemical and physiological 
responses induced by their cold acclimation duration. Cold acclimation 
mechanisms in the plant are a fundamental reason for plant tolerance 
increase in autumn cultivation. Hence, investigating the mentioned 
traits can help identify cold-tolerant genotypes. Identifying attributes
 that provide a suitable description of the diversity between genotypes 
is critical through canonical correlation analysis, cluster analysis, 
and determining the genetic distance.<br /><strong>Materials and Methods</strong><br />This
 experiment was conducted during the 2017-18 growing season in the 
research field of Ferdowsi University of Mashhad, Iran (Lat 36° 15′ N, 
Long 59° 28 E; 985 m Altitude). Chickpea germplasm, including 29 
Desi-type chickpea genotypes and one cold tolerant cultivar (cv. <em>Saral</em>),
 was studied in terms of morpho-physiological and biochemical attributes
 and their relationship with yield and yield components. Chickpea seeds 
were provided from the Mashhad chickpea collection at the Research 
Center for Plant Science. Following seedbed preparation by ridge tillage
 in October 2017, chickpea seeds were sown with a density of 40 plant m<sup>-2</sup>.
 Irrigation was conducted three times during the growth period: 
immediately after sowing, two weeks after the first irrigation and 
flowering stage. Hand-weeding was done three times during the growth 
stage in early March, early April, and early May. Data were analyzed 
using the SAS 9.4 software, and the mean comparison was performed by the
 Duncan Multiple Range Test (DMRT) at a 5% probability level. Statistica
 software also performed a cluster analysis (based on Euclidean 
distance) and principal component analysis (PCA).<br /><strong>Results and Discussion</strong><br />Evaluating
 the morpho-physiological performance of chickpea genotypes is valuable 
for breeding programs that integrate chickpea cold tolerance. Based on 
Pearson's correlation coefficient results, a significant positive 
correlation was observed between the survival of chickpea germplasm with
 seed yield and biological yield. Also, a significant negative 
correlation between survival with photosynthesis pigment content and <em>Fv'/Fm'</em>
 revealed a high relationship between these parameters. Traits with the 
highest canonical discriminate coefficients had the best effect on the 
diversity across the studied genotypes. Based on the factor analysis 
results, the first factor with 22.8%, and the second with 12.1% 
explained the most differences. In the first factor, the most critical 
traits with a positive charge are <em>Fv'/Fm'</em>, the total content of
 photosynthetic pigments, starch, the number of fertile pods, and the 
number of seeds, and the critical trait with a negative charge was the 
survival. The genotypes of the five cluster analysis groups had a higher
 mean in 54% of the traits compared to the total mean. The crossing of 
genotypes of group one due to higher survival and seed yield and 
genotypes of group five due to plant height and first pod height 
(compared to the total mean), which also have a considerable genetic 
distance, can lead to the release of new varieties. Also, the genotypes 
of the three cluster analysis groups (MCC32, MCC34, MCC155, MCC194, 
MCC199, and MCC291) have high-priority traits for selection by breeders 
and can be used in breeding programs for autumn cultivation.<br /><strong>Conclusion</strong><br />According
 to the results of the present study, selection for successful 
overwintering of desi-type chickpea genotypes in cold regions is 
recommended based on the mentioned characteristics in breeding programs.
 The group three chickpea genotypes of cluster analysis (MCC32, MCC34, 
MCC155, MCC194, MCC199, and MCC291) and morpho-physiological and 
biochemical attributes affecting the yield and yield components 
determined from this study may be helpful for genetic engineering and 
breeding programs that integrate chickpea cold tolerance.",opensource
unleashing-the-future,"Unleashing the Future: PyTorch Dominates 2024 Trends in Machine Learning and Deep Learning, Illuminated by PyTorch Lightning",k,"<p class=""MsoNormal"">cutting-edge trends that position PyTorch, along with its
streamlined companion PyTorch Lightning, at the forefront of innovation,
providing unparalleled capabilities for researchers, developers, and data
scientists.</p><p></p>",opensource
coas.ojer.0702.05133g,Metaphors of 6th Grade Students Regarding the Culture Concept Included in the Social Studies Curriculum (133-142) - Selma Güleç & Meltem Elif Çelik,O,"<span style=""font-family:Georgia;text-align:justify;"">This research aims to reveal the metaphors used by 6th grade secondary school students regarding the concept of culture in social studies. In this qualitative research study, the researchers interviewed 80 students – 40 girls and 40 boys – regarding their metaphors concerning the concept of culture. We conducted content analysis to analyze the data collected. We categorized the metaphors under five titles. These categories are cultural element, heritage, leader, continuity, and unifying. The study observed that the students mostly associated the concept of culture with the concept of history and tradition and defined the concept of culture mostly through cultural elements. In addition, in the study, the researchers observed that the participants did not develop a negative metaphor about the culture and perceived the beneficial aspects of the culture. We can say that the social studies course and the curriculum successfully foster a favorable perception of culture.</span>","['folkscanomy_academic', 'folkscanomy', 'additional_collections']"
coas.ojls.0602.02049m,General Provisions of Digital Property Law and How to Categorize Digital Assets (49-64) - Roman Maydanyk,O,"<span style=""font-family:Georgia;text-align:justify;"">This article deals with general provisions of digital property law and categorization of digital assets. Distributed data storage technologies and their applications have created a market for digital assets, forming a new intangible, digital type of property. The formation of digital property law, which is becoming increasingly important, is based on the functional approach of implementing digital assets as property into the law, which necessitates a rethinking and transformation of property law, similar to the transition from exclusively tangible objects of property rights to intangible objects such as intellectual property, as well as from securities and documents of title (bill of lading, bill of exchange) in paper form to fully dematerialized securities, electronic documents of title, and online accounts as property. The transformation of property law for the purposes of digital assets is based on the implementation of new, sui generis property rights and the extension of rules on property rights to objects that were not previously objects of law or were created for obligatory claims, as a result of which objects arising from actual or contractual relations acquire a in rem and quasi-in rem legal regime. Starting with an overview of the concepts of property law of digital assets, the article then discusses the concept of property, and then the concept of digital assets, their nature and classification of the main types of digital assets as property. The formation of digital property law inherent in modern law is a global trend characterized by the gradual recognition of certain types of digital assets as property and the creation of functional equivalents of possession, legal titles and remedies that are inherent in traditional property law, taking into account the intangible nature of digital assets. The author of this research starts with an overview of the general provisions of property law and digital property law, the article then discusses general provisions categorizing of digital assets, and categorizing types of digital assets.</span>",opensource
httpsjournal.foundae.comindex.phpjasmearticleview251,Effects of student-centered learning and formative assessment on first year students of a non-government college in Bangladesh,M,"<strong style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">Background:</strong><span style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);""> In the evolving landscape of education, student-centered learning approaches and formative assessments have gained prominence as key to enhancing the quality of higher education. This is particularly pertinent in Bangladesh, where traditional teaching methods are still prevalent, underscoring the significance of these strategies.</span><br style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"" /><strong style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">Aim:</strong><span style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);""> This research aims to explore the impact of implementing student-centered learning and formative assessment on first-year university students at a non-governmental university in Bangladesh, highlighting how these methods influence the learning process.</span><br style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"" /><strong style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">Method:</strong><span style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);""> Employing a qualitative approach, data was gathered through surveys conducted among fifteen first-year political science students at a non-governmental higher education institution in Bangladesh.</span><br style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"" /><strong style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">Results:</strong><span style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);""> The study revealed increased student engagement in understanding material and improved academic performance in classes that adopted student-centered approaches and formative assessments.</span><br style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"" /><strong style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">Conclusion:</strong><span style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);""> This research confirms that student-centered learning combined with formative assessment contributes positively to enhancing the quality of learning at the higher education level. It underscores the need for pedagogical improvements in Bangladesh to encourage broader implementation of these methods, which in turn could enrich the learning process and educational outcomes for students.</span>",opensource
httpsjournal.foundae.comindex.phpjasmearticleview321,Development of grade 10 students’ modelling skills on circulatory system through model-based learning,K,"<strong style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">Aim</strong><span style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">: This study aims to elevate the modelling skills of Grade 10 students in understanding the circulatory system, using model-based learning, to a level where they can achieve at least a 70% passing score on a relevant unit test.</span><br style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"" /><strong style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">Method</strong><span style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">: The study involved 23 students and implemented a model-based learning approach. Research tools included a design for model-based learning, assessments of the modelling process, a modelling ability exam, structural interviews, and student diaries. Data analysis was conducted using percentages and averages, and the action research was structured into two iterative rounds.</span><br style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"" /><strong style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">Results</strong><span style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">: Initial findings from the first cycle revealed an average modelling ability score of 18.21 out of 24 (75.87%), with 14 students surpassing the 70% threshold. The second cycle showed marked improvement, with an average score of 19.94 out of 24, translating to an 83.09% success rate. Notably, all 23 students exceeded the 70% benchmark in this cycle.</span><br style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"" /><strong style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">Conclusion</strong><span style=""color:rgb(34,34,34);font-family:Tahoma, Verdana, Arial, Helvetica, sans-serif;font-size:12px;background-color:rgb(255,255,255);"">: The implementation of model-based learning significantly enhanced the students' modelling skills in understanding the circulatory system. The method proved effective in not only achieving but surpassing the targeted 70% success threshold, demonstrating its potential as a valuable educational tool in biology.</span>",opensource
544-577,Role of Mentorship in Science as an Element of Scientific and Technological Development,I,"<span style=""font-family:Lato, sans-serif;font-size:16px;background-color:rgb(255,255,255);""><b>Introduction.</b> </span><span style=""font-family:Lato, sans-serif;font-size:16px;background-color:rgb(255,255,255);"">In Russia, 2023 has been declared the Year of the Educator and Mentor, emphasizing the need for systematic measures in the field of personnel development for the research and development sector, primarily through postgraduate education. The necessity to ensure the stability of the research and development sector arises due to new objectives of the government policy on scientific and technological development, including training personnel in priority fields and enhancing science management. Over the past decade, scientific periodicals have extensively discussed ways to improve the effectiveness of postgraduate studies, given the decline in researcher numbers and dissertation defense rates, stricter requirements for dissertation councils, and their evolving operational forms. This article attempts to explore the role of mentorship in science within the context of the scientific and technological development objectives set by the country's leadership. The study highlights trends in scientific mentorship development and defines its functions based on survey data from research advisors working in Russian universities and research organizations. The study identifies contradictions that need to be addressed and proposes ways to improve the work and status of research advisors. </span><span style=""font-family:Lato, sans-serif;font-size:16px;background-color:rgb(255,255,255);""><b>Methods.</b> </span><span style=""font-family:Lato, sans-serif;font-size:16px;background-color:rgb(255,255,255);"">The empirical foundation of this study is based on a sociological survey of postgraduate students and applicants' research advisors with a candidate or doctoral degree — academic, scientific, and administrative and managerial personnel of universities and research organizations (N = 3000). The survey included representatives from all broad scientific fields (natural, technical, humanities, social, medical, agricultural). The survey was conducted in 2023. </span><span style=""font-family:Lato, sans-serif;font-size:16px;background-color:rgb(255,255,255);""><b>Results and Discussion.</b> </span><span style=""font-family:Lato, sans-serif;font-size:16px;background-color:rgb(255,255,255);"">The study results reveal that the main challenges research advisors face when working with applicants for academic degrees are organizational and competence-related, tied to the high level of bureaucratization in scientific personnel training, lack of flexibility, insufficient time allocation, and poor competencies of the participants in this process, especially those responsible for scientific and technological development. The study notes an increase in the complexity of the functional roles of research advisors due to an outdated workload distribution system that hinders full participation in scientific personnel training to meet current demands. Research advisors believe they require specialized training and describe the current state of scientific personnel training as being in crisis, necessitating significant changes. The study identifies several directions for modernizing higher qualification personnel training to address scientific and technological development challenges: aligning postgraduate training with practical experience (transitioning to professional and industrial postgraduate education in experimental mode for certain fields); creating individualized tracks for dissertation preparation (implementing individual programs); conducting internships at enterprises oriented at knowledge-driven economy and academic mobility improvement; appointing consultants from companies alongside research advisors, etc. The study results are discussed in terms of gender, age, job differences, and affiliation to a specific field of science. <b>Conclusion.</b> The study suggests that adopting a hybrid model of scientific mentorship, which combines elements of the traditional model (the research advisor being the sole mentor) and other models (developmental mentorship, multiple mentors, supportive mentorship) prevalent in international practice, could help address certain organizational and competence-related issues. To enhance the benefits of postgraduate studies for the high-tech sector, special attention should be paid to natural and technical sciences, interdisciplinary research, dissertations commissioned by the industry, organizations, or companies, joint supervision models, and strengthening ties between universities, research organizations, and the economy sector itself among others.</span>","['science-governance-and-scientometrics', 'additional_collections']"
