Identifier,Title,Author,Description,collection
20230521-ada-poetical-science-thinking-machine,"20230521 ADA, Poetical Science & Thinking Machine",L,"<p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;"">Ada, Poetical Science and Thinking Machine</span><span style=""font-family:Arial;""></span></p><p></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;""> </span></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;"">In Introduction, Isaacson wrote ""The computer and the internet are among the most important inventions of our era, but few people know who created them"". He also explores the social and cultural forces that provide the atmospher for innovation. The internet was originally built to facilitate collaboration. By contrast, personal computers especially those meant to be used at home, were devised as tools for individual creativity. Isaacson begins this computer and internet history with Ada Lovelace, Lord Byron's daughter, who pioneered computer programming in the 1840s. ""When it comes to computers, there is one other historical figure, not as well known, who embodied the combination of the arts and sciences. Like her famous father, she understood the romance of poetry. Unlike him, she also saw the romance of math and machinery. And that is where our story begins."" (Isaacson, 2015: 20). </span><span style=""font-family:Arial;""></span></p><p></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;""> </span></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;"">I am extremely interested in the story about Ada, poetical science and thinking machine. Regardless, I feel like this history repeating itself and has the potential for AI today to follow and make the thinking machine real and more perfect. The great beauty of the invention. Below I present an excerpt of the two core paragraphs. </span><span style=""font-family:Arial;""></span></p><p></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;""> </span></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;"">""The only legitimate child of the poet Lord Byron, Ada had inherited her father’s romantic spirit, atrait that her mother tried to temper by having her tutored in mathematic.  The combination produced in Ada a love for what she took to calling “poetical science,” which linked her rebellious imagination to her enchantment with numbers."" (Isaacson, 2015: 21).</span><span style=""font-family:Arial;""></span></p><p></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;""> </span></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;"">""Ada’s mother, Lady Byron, marveled that it was a “thinking machine”. As for Ada, who would later famously note that machines could never truly think, a friend who went with them to the demonstration reported, “Miss Byron, young as she was, understood its working, and saw the great beauty of the invention.” (Isaacson, 2015: 26).</span><span style=""font-family:Arial;""></span></p><p></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;""> </span></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;"">Source: Isaacson, Walter. (2015). The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution. Farmington Hills, Mich: Large Print Press, a part of Gale, Cengage Learning.</span><span style=""font-family:Arial;""></span></p><p></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;""> </span></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;"">Bandung, West Java</span><span style=""font-family:Arial;""></span></p><p></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;"">May 21, 2023</span><span style=""font-family:Arial;""></span></p><p></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;"">Levri Ardiansyah</span><span style=""font-family:Arial;""></span></p><p></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;"">Indonesian Poet</span><span style=""font-family:Arial;""></span></p><p></p><p class=""MsoNormal"" align=""justify"" style=""text-align:justify;""><span style=""font-family:Arial;""> </span></p>","['opensource', 'community']"
switchnet4bp,switchnet4bp,S,"Neural Network - Switch Net 4 with backpropagation.<div>Written in Processing, a Java like programming language.</div>","['opensource', 'community']"
20230910_20230910_1914,Collecting and analyzing news from newspaper posts in facebook using machine learning,M,"<b style=""color:rgb(102,102,102);font-family:roboto, sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Abstract</b><span style=""color:rgb(102,102,102);font-family:roboto, sans-serif;font-size:16px;background-color:rgb(255,255,255);"">: Many people use social networks to spend their free time. News, especially at the time of great world changes, began to gain considerable popularity. Washington Post, New York Times, Time, Reuters, Forbes are among the most famous global newspaper publications. An average analyst can spend up to 40 hours a week collecting information about competitors and researching the most popular posts. According to the conducted research, an average of 40 new posts with news per day. The data processing process can be automated using modern information tools to facilitate the routine work of analysts. To analyze the target audience and reach, it is worth considering the text of the message, the number of likes, comments and links. This information was obtained using the Selenium automated web page testing tool using the Java programming language. The time spent on collecting data in the described way from four newspaper editions amounts to approximately 12 hours. The Tensorflow library using the JavaScript programming language is applied to the collected information. Based on information about the number of shares, comments, likes, frequency of news posts, an analysis was carried out using machine learning algorithms. Based on the clustering data, we can observe such a tendency that posts with a large number of likes receive a large number of comments and vice versa. An analysis of the most active hours of users in the network based on news posts is performed. As a result, the highest activity is observed at least three times a day, namely: in the morning hours from 9:00 to 11:00, in the lunch time of the day from 12:00 to 15:00 and in the evening time period from 18:00 to 20:00. This trend is due to the work schedule of most employees during the working week. The resulting statistical information in the work can be used for other content or user behavior in social networks.</span>","['aipi.ua-collection', 'additional_collections']"
java-entwicklung-von-skalierbaren-anwendungen,Java - Entwicklung Von Skalierbaren Anwendungen,M,"<p class=""MsoNormal"">Eines der wichtigsten Merkmale von Java ist, dass es
""plattformunabhängig"" ist. Das bedeutet, dass Java-Code auf jeder
Plattform ausgeführt werden kann, solange eine Java Virtual Machine (JVM)
vorhanden ist. Dies ermöglicht es Entwicklern, ihren Code einmal zu schreiben
und ihn dann auf viele verschiedene Arten von Geräten und Betriebssystemen
auszuführen.<br /><br />Dieses Buch steht in deutscher und in englischer Sprache zum Download bereit.</p><p></p>","['opensource', 'community']"
java-script-beschleunigen-sie-ihren-code,Java Script Beschleunigen Sie Ihren Code,M,"<p class=""MsoNormal"">JavaScript kann sowohl auf dem Client als auch auf dem
Server ausgeführt werden. Auf dem Client wird es hauptsächlich verwendet, um
Benutzerinteraktionen auf einer Webseite zu verarbeiten und die Darstellung der
Seite zu verändern, ohne dass die gesamte Seite neu geladen werden muss. Auf
dem Server wird es hauptsächlich mit Node.js verwendet, um Serveranwendungen zu
entwickeln.<br /><br />Dieses Buch steht in deutscher und in englischer Sprache zum Download bereit.</p><p></p>","['opensource', 'community']"
step-by-step-gui-with-jdbc-and-my-sql,Step By Step GUI With JDBC And My SQL,Unknown Author,This is my project that I'm doing and am sharing the problems have faced in connection my database with the java program,"['opensource', 'community']"
module-1-complete-notes,Module 1 Complete Notes,K,Object Oriented Programming using Java,opensource
the-impact-of-language-syntax-on-the-complexity-of-programs-a-case-study-of-java-and-python,The Impact Of Language Syntax On The Complexity Of Programs A Case Study Of Java And Python,5,"<p style=""line-height:1.785rem;margin:1.43rem 0px 0px;"">Programming is the cornerstone of computer science, yet it is difficult to learn and program. The syntax of a programming language is particularly challenging to comprehend, which makes learning arduous and affects the program's testability. There is currently no literature that definitively gives quantitative evidence about the effect of programming language complex syntax. The main purpose of this article was to examine the effects of programming syntax on the complexity of their source programs. During the study, 298 algorithms were selected and their implementations in Java and Python were analyzed with the cyclomatic complexity matrix. The results of the study show that Python's syntax is less complex than Java's, and thus coding in Python is more comprehensive and less difficult than Java coding. The Mann-Whitney U test was performed on the results of a statistical analysis that showed a significant difference between Java and Python, indicating that the syntax of a programming language has a major impact on program complexity. The novelty of this article lies in the formulation of new knowledge and study patterns that can be used primarily to compare and analyze other programming languages.</p>","['journals_contributions', 'journals']"
20230911_20230911_0603,Api test automation of search functionality with artificial intelligence,M,"<b style=""color:rgb(102,102,102);font-family:roboto, sans-serif;font-size:16px;background-color:rgb(255,255,255);"">Abstract</b><span style=""color:rgb(102,102,102);font-family:roboto, sans-serif;font-size:16px;background-color:rgb(255,255,255);"">: One of the steps in software development is to test the software product. With the development of technology, the testing process has improved to automated testing, which reduces the impact of the human factor on error and speeds up testing. The main software products for testing are considered to be web applications, web services, mobile applications and performance testing. According to the testing pyramid, when testing web services, you need to develop more test cases than when testing a web application. Because automation involves writing software code for testing, the use of ready-made tools will speed up the software development process. One of the most important test indicators is the coverage of search functionality. The search functionality of a web application or web service requires a large number of cases, as you need to provide many conditions for its operation through the free entry of any information on the web page. There is an approach to data-based testing, which involves working with a test data set through files such as CSV, XLS, JSON, XML and others. However, finding input for testing takes a lot of time when creating test cases and automated test scenarios. It is proposed to use artificial data set generators based on real values and popular queries on the website to form a test data set. In addition, it is possible to take into account the probable techniques of developing test cases. It is proposed to conditionally divide the software for testing into several layers: client, test, work with data, checks and reports. The Java programming language has a number of libraries for working at each of these levels. It is proposed to use Rest Assured as a Restful client, TestNG as a library for writing tests with checks, and Allure report for generating reports. It is noted that the proposed approach uses artificial intelligence for automated selection of test cases when creating a test to diversify test approaches and simulate human input and behavior to maximize the use of cases.</span>","['aipi.ua-collection', 'additional_collections']"
289-updated,Analysis of Code Vulnerabilities in Repositories of GitHub and Rosettacode: A comparative Study,5,"<p style=""line-height:1.785rem;margin:1.43rem 0px 0px;"">Open-source code hosted online at programming portals is present in 99% of commercial software and is common practice among developers for rapid prototyping and cost-effective development. However, research reports the presence of vulnerabilities, which result in catastrophic security compromise, and the individual, organization, and even national secrecy are all victims of this circumstance. One of the frustrating aspects of vulnerabilities is that vulnerabilities manifest themselves in hidden ways that software developers are unaware of. One of the most critical tasks in ensuring software security is vulnerability detection, which jeopardizes core security concepts like integrity, authenticity, and availability. This study aims to explore security-related vulnerabilities in programming languages such as C, C++, and Java and present the disparities between them hosted at popular code repositories. To attain this purpose, 708 programs were examined by severity-based guidelines. A total of 1371 vulnerable codes were identified, of which 327 in C, 51 in C++, and 993 in Java. Statistical analysis also indicated a substantial difference between them, as there is ample evidence that the Kruskal-Wallis H-test p-value (.000) is below the 0.05 significance level. The Mann-Whitney Test mean rank for GitHub (Mean-rank=676.05) and Rosettacode (Mean-rank=608.64) are also different. The novelty of this article is to identify security vulnerabilities and grasp the nature severity of vulnerability in popular code repositories. This study eventually manifests a guideline for choosing a secure programming language as a successful testing technique that targets vulnerabilities more liable to breaching security.</p>","['journals_contributions', 'journals']"
10.11591eei.v11i3.3187,Distributed big data analysis using Spark parallel data processing,B,"<span class=""markedContent""><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">Nowadays,  the  big  data  marketplace  is  rising  rapidly.  The  big  challenge  is </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">finding  a  system  that  can  store  and  handle  a  huge  size  of  data  and  then </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">processing  that  huge  data  for  mining  the  hidden  knowledge.  This  paper </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">proposed a compr</span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">ehensive system that is used for improving </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">big data </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">analysis </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">performance. It contains a fast </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">big data </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">processing engine using Apache Spark </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">and a </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">big data </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">storage environment using Apache Hadoop. The system tests </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">about 11 Gigabytes of text data which are co</span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">llected from multiple sources for </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">sentiment  analysis.  Three  different  machine  learning </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">(ML) </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">algorithms  are </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">used in this system which is already supported by the Spark </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">ML</span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">package. The </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">system programs were written in Java and Scala programming languages and </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">the constructed model consists of the classification algorithms as well as the </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">pre</span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">-</span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">processing  steps  in  a  figure  of </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">ML</span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr""> </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">pipeline</span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">.  The  proposed  system  was </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">implemented in both central and distributed data processing. Moreover, some </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">datasets manipulation manner</span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">s have been applied in the system tests to check </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">which manner provides the best accuracy and time performance. The results </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">showed  that  the  system  works  efficiently  for  treating  big  data,  it  gains </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">excellent accuracy with fast execution time especially in th</span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">e distributed data </span><span style=""font-size:13.7271px;font-family:sans-serif;"" dir=""ltr"">nodes.</span></span>","['journals_contributions', 'journals']"
compsci-conf-ieeesaner-2022-165-flexible-semi-automatic-support-for-type-migration,Flexible Semi Automatic Support For Type Migration Of Primitives For C⁄ C++ Programs,S,"<div>Type systems are crucial tools in the hands of developers to ensure an increased level of soundness to their programs, make them safer, and guard against bugs.</div><div>However, in practice, the type system is not always used to its full capability, and trade-offs are made.</div><div>The effects range from hindered code comprehension and wasted development effort to financial damages and even the risk of loss of life.</div><div>Various widely used programming languages, such as C++, Java, Python, and Rust, are yet to implement constrained types as a language feature.<br /></div><div>While the usage of user-defined types is common in modern languages that support such elements, developers often resort to having their variables use the most common, fundamental, built-in or library types, such as int or string, and not encode invariants into the type system.</div><div><br /></div><div>In this paper, we describe a flexible, incremental, semi-automated type migration approach that allows transitioning from the use of fundamental coarse types to strong types.</div><div>Previously, well-scaling type migration methods were restricted and required the existence of an already well- defined destination type.</div><div>In our case, the new strong type to be created is not yet defined, but the required interface is discovered via static analysis.</div><div>As refactoring tools would cease to function if the code is changed textually to a version that refers undefined symbols, a more granular approach was needed.</div><div>In addition, our proposed method allows us to discover the mixing of conceptually distinct types during development while the original program continues to function.<br /></div>","['opensource', 'community']"
